ఆఫ్రికా	非洲
జపాన్	日本
దక్షిణ అమెరికా	南美洲
నార్వే	挪威
ఇంగ్లాండు	英格兰
స్కాట్లాండ్	蘇格蘭
వేల్స్	威爾士
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	爱尔兰共和国
హంగేరి	匈牙利
స్పెయిన్	西班牙
అమెరికా సంయుక్త రాష్ట్రాలు	美国
బెల్జియం	比利时
విశ్వం	宇宙
భూమి	地球
జీవం	生命
మరణం	死亡
మానవుడు	人
సంతోషం	快樂
జార్జి వాషింగ్టన్	乔治·华盛顿
టిమ్ బెర్నర్స్ లీ	蒂姆·伯纳斯-李
ఫిన్‌లాండ్	芬兰
స్వీడన్	瑞典
డెన్మార్క్	丹麦
పోలాండ్	波兰
లిథువేనియా	立陶宛
ఇటలీ	意大利
స్విట్జర్లాండ్	瑞士
ఆస్ట్రియా	奥地利
గ్రీస్	希腊
టర్కీ	土耳其
బీరు	啤酒
పోర్చుగల్	葡萄牙
ఐరోపా	欧洲
ఆసియా	亚洲
ఉత్తర అమెరికా	北美洲
అంటార్కిటికా	南极洲
వికీపీడియా	维基百科
నెదర్లాండ్స్	荷兰
శిశ్నము	阴茎
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	纽约
వాషింగ్టన్, డి.సి.	华盛顿哥伦比亚特区
శాన్ ఫ్రాన్సిస్కో	旧金山
బెర్లిన్	柏林
లాస్ ఏంజలెస్	洛杉矶
ఎయిర్‌బస్	空中客车
కంప్యూటర్	電子計算機
ఇంటర్నెట్	互联网
బరాక్ ఒబామా	贝拉克·奥巴马
కంప్యూటర్ ప్రింటర్	打印机
మీడియావికీ	MediaWiki
లండన్	伦敦
కైరో	开罗
తలనొప్పి	頭痛
అలెగ్జాండ్రియా	亚历山大港
ఆపిల్	苹果
పారిస్	巴黎
అబ్రహం లింకన్	亚伯拉罕·林肯
ఆండ్రాయిడ్	Android
గూగుల్	Google
మెక్సికో	墨西哥
అట్లాంటిక్ మహాసముద్రం	大西洋
పసిఫిక్ మహాసముద్రం	太平洋
కాలిఫోర్నియా	加利福尼亚州
బోస్టన్	波士顿
సోమవారము	星期一
అంతరిక్షం	空间 (物理)
జనవరి	1月
ఫిబ్రవరి	2月
మార్చి	3月
అంగారకుడు	火星
కెన్యా	肯尼亚
ఇథియోపియా	埃塞俄比亚
ఘనా	加纳
ఏప్రిల్	4月
మే	5月
జూన్	6月
జూలై	7月
ఆగష్టు	8月
సెప్టెంబర్	9月
అక్టోబర్	10月
నవంబర్	11月
డిసెంబర్	12月
మంగళవారము	星期二
బుధవారము	星期三
గురువారము	星期四
శుక్రవారము	星期五
శనివారము	星期六
ఆదివారము	星期日
సింహం	狮
ఫ్రాన్స్	法国
కుక్క	犬
యునైటెడ్ కింగ్‌డమ్	英国
పిల్లి	猫
చైనా	中华人民共和国
ఫ్రెంచి భాష	法语
చేప	鱼
బ్రెజిల్	巴西
ఆల్కహాలు	醇
రష్యా	俄罗斯
ఆప్టికల్ ఫైబర్	光導纖維
సముద్రం	海
నల్ల సముద్రం	黑海
పై	圓周率
వికీ	Wiki
టొరంటో	多伦多
అలబామా	亚拉巴马州
బోయింగ్ 747	波音747
వికీమీడియా ఫౌండేషన్	维基媒体基金会
జిమ్మీ వేల్స్	吉米·威爾斯
జర్మనీ	德国
బెలారస్	白俄罗斯
లారీ సాంగర్	拉里·桑格
జర్మన్ భాష	德语
ఐస్‌లాండ్	冰岛
దేవుడు	神 (一神教)
ఎస్టోనియా	爱沙尼亚
చాక్లెట్	巧克力
విమానం	固定翼飛機
యుద్ధం	战争
ఒకటి	1
రెండు	2
మూడు	3
నాలుగు	4
సున్న	0
దీర్ఘ చతురస్రం	矩形
లాట్వియా	拉脫維亞
ఉక్రెయిన్	乌克兰
చెక్ రిపబ్లిక్	捷克
స్లోవేనియా	斯洛文尼亚
మోల్డోవా	摩尔多瓦
రొమేనియా	羅馬尼亞
బల్గేరియా	保加利亚
రోమ్	罗马
మేసిడోనియా	馬其頓共和國
అల్బేనియా	阿尔巴尼亚
గ్రీన్‌లాండ్	格陵兰
క్రొయేషియా	克罗地亚
బోస్నియా మరియు హెర్జెగొవీనా	波斯尼亚和黑塞哥维那
అజర్‌బైజాన్	阿塞拜疆
అండొర్రా	安道尔
సైప్రస్	賽普勒斯
