Afrika	非洲
Japana	日本
Norvezy	挪威
Irlanda	爱尔兰共和国
Espaina	西班牙
Etazonia	美国
Belzika	比利时
Loksemborga	卢森堡
Tany	地球
Fiainana	生命
Olombelona	人
George Washington	乔治·华盛顿
Douglas Adams	道格拉斯·亚当斯
Tim Berners-Lee	蒂姆·伯纳斯-李
Stanley Kubrick	斯坦利·库布里克
Finlandy	芬兰
Soeda	瑞典
Danmarka	丹麦
Polonia	波兰
Litoania	立陶宛
Italia	意大利
Soisa	瑞士
Aotrisy	奥地利
Grisy	希腊
Torkia	土耳其
Labiera	啤酒
Pôrtogaly	葡萄牙
Eoropa	欧洲
Azia	亚洲
Amerika Avaratra	北美洲
Antartika	南极洲
Wikipedia	维基百科
PHP	PHP
New York	纽约
Washington D.C	华盛顿哥伦比亚特区
San Francisco	旧金山
Berlin	柏林
Los Angeles	洛杉矶
Solosaina	電子計算機
Internet	互联网
Barack Obama	贝拉克·奥巴马
MediaWiki	MediaWiki
London	伦敦
Kairo	开罗
Alexandria, Virginia	亚历山德里亚 (弗吉尼亚州)
Paoma	苹果
Paris	巴黎
Abraham Lincoln	亚伯拉罕·林肯
Android	Android
Google	Google
Meksika	墨西哥
Ranomasimbe Atlantika	大西洋
Ranomasimbe Pasifika	太平洋
Kalifornia	加利福尼亚州
Boston, Massachusetts	波士顿
Janoary	1月
Febroary	2月
Martsa	3月
Mars (fajiry)	火星
Kenia	肯尼亚
Etiopia	埃塞俄比亚
Ghana	加纳
Aprily	4月
Mey	5月
Jiona	6月
Jolay	7月
Aogositra	8月
Septambra	9月
Oktobra	10月
Novambra	11月
Desambra	12月
Frantsa	法国
Fiteny esperanto	世界语
Alika	犬
Fanjakana Mitambatra	英国
Saka	猫
Repoblika Entim-bahoakan'i Sina	中华人民共和国
Fiteny frantsay	法语
Wikibolana	维基词典
Hazandrano	鱼
Alkôla	酒
Brazila	巴西
François Hollande	弗朗索瓦·奥朗德
Rosia	俄罗斯
Efa-joro	正方形
Ranomasina Mainty	黑海
Pi	圓周率
Wiki	Wiki
Alabama	亚拉巴马州
São Paulo	聖保羅 (巴西)
Québec	魁北克
Boeing 747	波音747
Wikimedia Foundation	维基媒体基金会
Jimmy Wales	吉米·威爾斯
Alemaina	德国
Belarosia	白俄罗斯
Fiteny alemana	德语
Islandy	冰岛
Estonia	爱沙尼亚
David Cameron	戴维·卡梅伦
Fiaramanidina	固定翼飛機
Tsiefa	无穷
Stephen Harper	史蒂芬·哈珀
George Bush	乔治·沃克·布什
Latvia	拉脫維亞
Okraina	乌克兰
Tsekia	捷克
Silaovakia	斯洛伐克
Silaovenia	斯洛文尼亚
Vilnius	维尔纽斯
Romania	羅馬尼亞
Biolgaria	保加利亚
Roma	罗马
Masedonia	馬其頓共和國
Albania	阿尔巴尼亚
Groenlanda	格陵兰
Krôasia	克罗地亚
Bosnia sy Herzegovina	波斯尼亚和黑塞哥维那
Azerbaijana	阿塞拜疆
Andora	安道尔
Repoblikan'i Kipra	賽普勒斯
Jeorjia	格鲁吉亚
Kazakstàna	哈萨克斯坦
Malta	马耳他
Monakô	摩纳哥
Montenegro	蒙特內哥羅
San Marino	圣马力诺
Brussel	布鲁塞尔
Kioba	古巴
Belizy	伯利兹
Barbady	巴巴多斯
Antso	無線通訊
Indonezia	印度尼西亚
Wolfgang Amadeus Mozart	沃尔夫冈·阿马德乌斯·莫扎特
Ludwig van Beethoven	路德维希·范·贝多芬
Fiteny tiorka	土耳其语
Afrika Atsimo	南非
Aljeria	阿尔及利亚
Varsôvia	华沙
Rano	水
Hazo	木材
Tours	图尔
Claude Monet	克洛德·莫奈
Silia	智利
El Greco	格雷考
Jesoa	耶稣
Elvis Presley	埃爾維斯·皮禮士利
Galileo Galilei	伽利略·伽利莱
Merkiora	水星
Tantara	历史
Apple	蘋果公司
Venosy	金星
Fiteny	語言
Didy jadona	獨裁政體
Vondron-kintana	星系
Uranus	天王星
Eduardo Frei Ruiz-Tagle	爱德华多·弗雷·鲁伊斯-塔格莱
Nicolas Sarkozy	尼古拉·萨科齐
Hainkintana	天文學
Singapaoro	新加坡
Siansa	科学
Montréal	蒙特利尔
Rindrankajy malalaka	自由软件
Quimper	坎佩尔
Liechtenstein	列支敦斯登
Adolf Hitler	阿道夫·希特勒
Facebook	Facebook
WikiLeaks	維基解密
Ady Lehibe Voalohany	第一次世界大战
Ady Lehibe Faharoa	第二次世界大战
Kolikoly	贪污
Augusto Pinochet	奥古斯托·皮诺切特
Ubuntu	Ubuntu
Skopje	斯科普里
Linux	Linux
Bob Dylan	鲍勃·迪伦
Fanisana	数学
U2	U2樂團
Fiteny latina	拉丁语
Armenia	亞美尼亞
Jenna Jameson	珍娜·詹姆森
Serbia	塞尔维亚
Volana	月球
Aostralia	澳大利亚
Bob Marley	巴布·馬利
Carl Sagan	卡尔·萨根
Fizika	物理学
Arjentina	阿根廷
Fifandraisan-davitra	电信
Però	秘鲁
Biolojia	生物学
Korea Avaratra	朝鲜民主主义人民共和国
Kambodia	柬埔寨
Betsiboka	貝齊布卡河
Ljubljana	卢布尔雅那
Salvador Allende	萨尔瓦多·阿连德
Naturalis Historia	博物志 (老普林尼)
Lech Wałęsa	莱赫·瓦文萨
Kodiarana	輪
Fandriam-pahalemana	和平
Encyclopædia Britannica	大英百科全书
Vondrona Eoropeana	欧洲联盟
Plôvdiv	普罗夫迪夫
Tranonkala	万维网
